Orthogroup,Species,Genes
OG0007340,Sbicolor_v5,Sobic.009G143100
OG0007345,Gmax_Wm82_v2,Glyma.13G073200
OG0007396,Gmax_Wm82_v2,Glyma.19G020400
OG0007412,Sbicolor_v5,Sobic.010G141600
OG0007422,Gmax_Wm82_v2,Glyma.13G169900
OG0007427,Sbicolor_v5,Sobic.001G177000
OG0007427,Zmays_v5,Zm00001eb049640
OG0007435,Gmax_Wm82_v2,Glyma.02G289900
OG0007488,Gmax_Wm82_v2,Glyma.02G061600
OG0007525,Zmays_v5,Zm00001eb097890
OG0007549,Sbicolor_v5,Sobic.002G222200
OG0007553,Gmax_Wm82_v2,Glyma.02G249300
OG0007553,Gmax_Wm82_v2,Glyma.14G067200
OG0007564,Sbicolor_v5,Sobic.001G238900
OG0007606,Gmax_Wm82_v2,Glyma.16G052000
OG0007606,Gmax_Wm82_v2,Glyma.19G098500
OG0007630,Gmax_Wm82_v2,Glyma.19G123700
OG0007685,Zmays_v5,Zm00001eb158830
OG0007722,Sbicolor_v5,Sobic.003G191500
OG0007740,Sbicolor_v5,Sobic.008G191000
OG0007746,Gmax_Wm82_v2,Glyma.01G200400
OG0007754,Sbicolor_v5,Sobic.002G261700
OG0007755,Gmax_Wm82_v2,Glyma.05G163100
OG0007762,Gmax_Wm82_v2,Glyma.05G184700
OG0007765,Gmax_Wm82_v2,Glyma.05G237000
OG0007799,Sbicolor_v5,Sobic.009G070200
OG0007807,Gmax_Wm82_v2,Glyma.05G181500
OG0007819,Gmax_Wm82_v2,Glyma.08G078300
OG0007923,Gmax_Wm82_v2,Glyma.01G186400
OG0007946,Sbicolor_v5,Sobic.001G009200
OG0007952,Zmays_v5,Zm00001eb198650
OG0008021,Zmays_v5,Zm00001eb355050
OG0008044,Sbicolor_v5,Sobic.001G431500
OG0008060,Gmax_Wm82_v2,Glyma.18G116900
OG0008079,Gmax_Wm82_v2,Glyma.18G111900
OG0008093,Sbicolor_v5,Sobic.003G168506
OG0008093,Sbicolor_v5,Sobic.003G172300
OG0008117,Sbicolor_v5,Sobic.003G179500
OG0008143,Sbicolor_v5,Sobic.007G117500
OG0008143,Sbicolor_v5,Sobic.007G140600
OG0008151,Sbicolor_v5,Sobic.008G190400
OG0008160,Sbicolor_v5,Sobic.004G216600
OG0008164,Sbicolor_v5,Sobic.003G113700
OG0008194,Zmays_v5,Zm00001eb181640
OG0008226,Zmays_v5,Zm00001eb405700
OG0008240,Sbicolor_v5,Sobic.008G029200
OG0008247,Sbicolor_v5,Sobic.007G129300
OG0008283,Zmays_v5,Zm00001eb222880
OG0008309,Sbicolor_v5,Sobic.009G085900
OG0008326,Sbicolor_v5,Sobic.005G131700
OG0008337,Zmays_v5,Zm00001eb238030
OG0008394,Gmax_Wm82_v2,Glyma.16G085600
OG0008446,Gmax_Wm82_v2,Glyma.18G107000
OG0008556,Sbicolor_v5,Sobic.001G046900
OG0008633,Gmax_Wm82_v2,Glyma.10G286500
OG0008633,Gmax_Wm82_v2,Glyma.20G102600
OG0008657,Sbicolor_v5,Sobic.004G120100
OG0008661,Sbicolor_v5,Sobic.007G163700
OG0008669,Gmax_Wm82_v2,Glyma.10G228900
OG0008701,Gmax_Wm82_v2,Glyma.10G126700
OG0008727,Gmax_Wm82_v2,Glyma.10G176200
OG0008761,Zmays_v5,Zm00001eb075960
OG0008765,Gmax_Wm82_v2,Glyma.10G194200
OG0008768,Zmays_v5,Zm00001eb402770
OG0008779,Gmax_Wm82_v2,Glyma.10G196200
OG0008779,Sbicolor_v5,Sobic.003G440300
OG0008791,Sbicolor_v5,Sobic.001G398600
OG0008874,Zmays_v5,Zm00001eb246820
OG0008906,Gmax_Wm82_v2,Glyma.20G113300
OG0008929,Gmax_Wm82_v2,Glyma.17G109300
OG0008957,Gmax_Wm82_v2,Glyma.13G156900
OG0008975,Gmax_Wm82_v2,Glyma.07G258500
OG0009005,Gmax_Wm82_v2,Glyma.09G079900
OG0009017,Gmax_Wm82_v2,Glyma.17G219900
OG0009021,Gmax_Wm82_v2,Glyma.13G162600
OG0009021,Gmax_Wm82_v2,Glyma.17G108700
OG0009040,Sbicolor_v5,Sobic.007G137800
OG0009066,Sbicolor_v5,Sobic.004G000500
OG0009084,Gmax_Wm82_v2,Glyma.14G081100
OG0009099,Gmax_Wm82_v2,Glyma.13G115500
OG0009105,Sbicolor_v5,Sobic.007G009700
OG0009156,Gmax_Wm82_v2,Glyma.17G220200
OG0009201,Gmax_Wm82_v2,Glyma.17G009400
OG0009229,Sbicolor_v5,Sobic.001G091300
OG0009318,Zmays_v5,Zm00001eb224060
OG0009321,Sbicolor_v5,Sobic.009G120100
OG0009362,Zmays_v5,Zm00001eb248620
OG0009459,Gmax_Wm82_v2,Glyma.18G260000
OG0009490,Gmax_Wm82_v2,Glyma.09G164000
OG0009490,Sbicolor_v5,Sobic.003G172914
OG0009490,Sbicolor_v5,Sobic.004G251375
OG0009641,Sbicolor_v5,Sobic.009G175500
OG0009720,Gmax_Wm82_v2,Glyma.06G138100
OG0009734,Sbicolor_v5,Sobic.003G185900
OG0009753,Sbicolor_v5,Sobic.001G122400
OG0009757,Gmax_Wm82_v2,Glyma.06G177800
OG0009767,Gmax_Wm82_v2,Glyma.14G145900
OG0009782,Gmax_Wm82_v2,Glyma.06G137800
OG0009798,Gmax_Wm82_v2,Glyma.06G213000
OG0009837,Sbicolor_v5,Sobic.008G152700
OG0009858,Sbicolor_v5,Sobic.004G176000
OG0009860,Sbicolor_v5,Sobic.006G162200
OG0009900,Gmax_Wm82_v2,Glyma.04G227900
OG0009900,Gmax_Wm82_v2,Glyma.06G137000
OG0009971,Sbicolor_v5,Sobic.008G186500
OG0009977,Sbicolor_v5,Sobic.006G178000
OG0010008,Gmax_Wm82_v2,Glyma.05G084600
OG0010008,Gmax_Wm82_v2,Glyma.07G079200
OG0010024,Sbicolor_v5,Sobic.010G045600
OG0010060,Zmays_v5,Zm00001eb127900
OG0010082,Gmax_Wm82_v2,Glyma.07G163300
OG0010082,Gmax_Wm82_v2,Glyma.11G123300
OG0010131,Sbicolor_v5,Sobic.007G100426
OG0010164,Sbicolor_v5,Sobic.001G346700
OG0010179,Sbicolor_v5,Sobic.010G040100
OG0010233,Zmays_v5,Zm00001eb224220
OG0010243,Gmax_Wm82_v2,Glyma.20G037400
OG0010250,Gmax_Wm82_v2,Glyma.07G182300
OG0010251,Gmax_Wm82_v2,Glyma.18G113700
OG0010255,Zmays_v5,Zm00001eb129370
OG0010269,Sbicolor_v5,Sobic.002G263600
OG0010278,Sbicolor_v5,Sobic.009G191400
OG0010296,Sbicolor_v5,Sobic.001G231300
OG0010307,Sbicolor_v5,Sobic.008G185332
OG0010314,Gmax_Wm82_v2,Glyma.15G041800
OG0010376,Sbicolor_v5,Sobic.001G172700
OG0010384,Gmax_Wm82_v2,Glyma.13G220900
OG0010392,Sbicolor_v5,Sobic.007G028600
OG0010425,Sbicolor_v5,Sobic.010G143800
OG0010529,Gmax_Wm82_v2,Glyma.12G192600
OG0010529,Gmax_Wm82_v2,Glyma.13G309800
OG0010549,Gmax_Wm82_v2,Glyma.12G210300
OG0010549,Gmax_Wm82_v2,Glyma.13G291000
OG0010586,Gmax_Wm82_v2,Glyma.12G204400
OG0010629,Sbicolor_v5,Sobic.002G004000
OG0010680,Sbicolor_v5,Sobic.007G148800
OG0010711,Gmax_Wm82_v2,Glyma.02G040700
OG0010731,Sbicolor_v5,Sobic.010G194900
OG0010805,Zmays_v5,Zm00001eb265080
OG0010832,Gmax_Wm82_v2,Glyma.19G112700
OG0010837,Sbicolor_v5,Sobic.008G171300
OG0010851,Gmax_Wm82_v2,Glyma.16G166900
OG0010875,Sbicolor_v5,Sobic.009G251500
OG0010877,Sbicolor_v5,Sobic.006G222700
OG0010880,Gmax_Wm82_v2,Glyma.14G020000
OG0010885,Sbicolor_v5,Sobic.003G249400
OG0010940,Sbicolor_v5,Sobic.001G175800
OG0010958,Sbicolor_v5,Sobic.006G095200
OG0010962,Zmays_v5,Zm00001eb234150
OG0011045,Sbicolor_v5,Sobic.003G150900
OG0011052,Sbicolor_v5,Sobic.003G203300
OG0011069,Sbicolor_v5,Sobic.002G293200
OG0011106,Gmax_Wm82_v2,Glyma.16G048700
OG0011116,Sbicolor_v5,Sobic.001G394532
OG0011147,Sbicolor_v5,Sobic.008G010000
OG0011241,Sbicolor_v5,Sobic.003G122500
OG0011243,Sbicolor_v5,Sobic.003G446200
OG0011246,Sbicolor_v5,Sobic.005G022000
OG0011286,Sbicolor_v5,Sobic.004G112900
OG0011296,Sbicolor_v5,Sobic.002G403600
OG0011341,Gmax_Wm82_v2,Glyma.20G026800
OG0011352,Gmax_Wm82_v2,Glyma.05G185300
OG0011397,Gmax_Wm82_v2,Glyma.05G187400
OG0011441,Gmax_Wm82_v2,Glyma.05G066800
OG0011441,Sbicolor_v5,Sobic.001G294300
OG0011465,Gmax_Wm82_v2,Glyma.01G222600
OG0011472,Gmax_Wm82_v2,Glyma.05G183500
OG0011476,Gmax_Wm82_v2,Glyma.05G180000
OG0011484,Gmax_Wm82_v2,Glyma.05G181800
OG0011497,Gmax_Wm82_v2,Glyma.05G182500
OG0011501,Sbicolor_v5,Sobic.001G498000
OG0011514,Sbicolor_v5,Sobic.001G187900
OG0011515,Gmax_Wm82_v2,Glyma.05G182100
OG0011516,Sbicolor_v5,Sobic.010G179700
OG0011519,Zmays_v5,Zm00001eb126070
OG0011528,Gmax_Wm82_v2,Glyma.05G182700
OG0011528,Zmays_v5,Zm00001eb194340
OG0011543,Gmax_Wm82_v2,Glyma.11G028600
OG0011573,Sbicolor_v5,Sobic.002G114700
OG0011584,Zmays_v5,Zm00001eb346280
OG0011613,Gmax_Wm82_v2,Glyma.12G059200
OG0011620,Sbicolor_v5,Sobic.001G544200
OG0011628,Gmax_Wm82_v2,Glyma.18G025500
OG0011635,Gmax_Wm82_v2,Glyma.01G154000
OG0011641,Gmax_Wm82_v2,Glyma.11G213600
OG0011656,Sbicolor_v5,Sobic.006G185100
OG0011661,Gmax_Wm82_v2,Glyma.12G043400
OG0011667,Sbicolor_v5,Sobic.003G378600
OG0011669,Sbicolor_v5,Sobic.006G047300
OG0011684,Sbicolor_v5,Sobic.006G073500
OG0011690,Gmax_Wm82_v2,Glyma.11G082500
OG0011698,Sbicolor_v5,Sobic.009G011400
OG0011789,Sbicolor_v5,Sobic.002G115700
OG0011795,Zmays_v5,Zm00001eb051950
OG0011802,Sbicolor_v5,Sobic.006G074500
OG0011811,Sbicolor_v5,Sobic.001G516901
OG0011845,Sbicolor_v5,Sobic.001G007900
OG0011851,Sbicolor_v5,Sobic.003G168502
OG0011858,Sbicolor_v5,Sobic.004G210200
OG0011871,Sbicolor_v5,Sobic.009G130400
OG0011874,Gmax_Wm82_v2,Glyma.18G072800
OG0011922,Gmax_Wm82_v2,Glyma.18G117700
OG0011983,Zmays_v5,Zm00001eb240720
OG0011987,Zmays_v5,Zm00001eb037450
OG0012006,Sbicolor_v5,Sobic.005G112100
OG0012024,Zmays_v5,Zm00001eb230870
OG0012027,Gmax_Wm82_v2,Glyma.01G058600
OG0012027,Sbicolor_v5,Sobic.003G168700
OG0012028,Gmax_Wm82_v2,Glyma.06G290200
OG0012099,Sbicolor_v5,Sobic.006G062500
OG0012116,Sbicolor_v5,Sobic.003G052500
OG0012116,Zmays_v5,Zm00001eb336580
OG0012132,Gmax_Wm82_v2,Glyma.16G166500
OG0012135,Sbicolor_v5,Sobic.008G170000
OG0012141,Sbicolor_v5,Sobic.003G172900
OG0012150,Sbicolor_v5,Sobic.004G056900
OG0012150,Zmays_v5,Zm00001eb233170
OG0012162,Sbicolor_v5,Sobic.004G214500
OG0012203,Sbicolor_v5,Sobic.003G342200
OG0012210,Zmays_v5,Zm00001eb127310
OG0012215,Zmays_v5,Zm00001eb128120
OG0012281,Zmays_v5,Zm00001eb405630
OG0012302,Sbicolor_v5,Sobic.008G180400
OG0012342,Sbicolor_v5,Sobic.001G322100
OG0012414,Zmays_v5,Zm00001eb377070
OG0012431,Sbicolor_v5,Sobic.010G259500
OG0012438,Sbicolor_v5,Sobic.010G026600
OG0012559,Zmays_v5,Zm00001eb262520
OG0012561,Zmays_v5,Zm00001eb380730
OG0012618,Sbicolor_v5,Sobic.001G011600
OG0012633,Zmays_v5,Zm00001eb055660
OG0012657,Sbicolor_v5,Sobic.003G119100
OG0012661,Sbicolor_v5,Sobic.002G288750
OG0012661,Zmays_v5,Zm00001eb129280
OG0012693,Gmax_Wm82_v2,Glyma.01G235000
OG0012693,Gmax_Wm82_v2,Glyma.10G246800
OG0012715,Gmax_Wm82_v2,Glyma.02G267000
OG0012742,Sbicolor_v5,Sobic.003G190200
OG0012751,Gmax_Wm82_v2,Glyma.09G185100
OG0012828,Sbicolor_v5,Sobic.010G205000
OG0012968,Gmax_Wm82_v2,Glyma.09G133900
OG0012968,Sbicolor_v5,Sobic.004G135383
OG0013024,Gmax_Wm82_v2,Glyma.12G005100
OG0013094,Sbicolor_v5,Sobic.007G173800
OG0013210,Sbicolor_v5,Sobic.005G087900
OG0013220,Gmax_Wm82_v2,Glyma.01G005100
OG0013283,Gmax_Wm82_v2,Glyma.06G220800
OG0013383,Gmax_Wm82_v2,Glyma.13G280400
OG0013392,Sbicolor_v5,Sobic.009G174150
OG0013464,Sbicolor_v5,Sobic.010G189300
OG0013524,Gmax_Wm82_v2,Glyma.18G127200
OG0013589,Sbicolor_v5,Sobic.007G108900
OG0013623,Sbicolor_v5,Sobic.009G032100
OG0013644,Gmax_Wm82_v2,Glyma.03G131100
OG0013648,Zmays_v5,Zm00001eb335820
OG0013700,Gmax_Wm82_v2,Glyma.20G145900
OG0013717,Sbicolor_v5,Sobic.003G171952
OG0013717,Sbicolor_v5,Sobic.003G172910
OG0013754,Sbicolor_v5,Sobic.001G230050
OG0013769,Sbicolor_v5,Sobic.001G070500
OG0013770,Sbicolor_v5,Sobic.010G201266
OG0013776,Sbicolor_v5,Sobic.001G276500
OG0013776,Sbicolor_v5,Sobic.003G395800
OG0013811,Gmax_Wm82_v2,Glyma.05G183600
OG0013839,Sbicolor_v5,Sobic.006G188400
OG0013847,Sbicolor_v5,Sobic.001G097200
OG0013940,Gmax_Wm82_v2,Glyma.14G000500
OG0014040,Sbicolor_v5,Sobic.003G237000
OG0014098,Zmays_v5,Zm00001eb240120
OG0014100,Sbicolor_v5,Sobic.003G172924
OG0014139,Sbicolor_v5,Sobic.004G337851
OG0014182,Gmax_Wm82_v2,Glyma.06G232100
OG0014183,Sbicolor_v5,Sobic.007G006700
OG0014230,Zmays_v5,Zm00001eb104270
OG0014234,Sbicolor_v5,Sobic.008G033000
OG0014298,Sbicolor_v5,Sobic.005G164700
OG0014359,Zmays_v5,Zm00001eb240490
OG0014383,Sbicolor_v5,Sobic.004G307700
OG0014454,Sbicolor_v5,Sobic.004G067000
OG0014465,Sbicolor_v5,Sobic.003G120125
OG0014465,Sbicolor_v5,Sobic.004G186800
OG0014465,Sbicolor_v5,Sobic.008G054801
OG0014480,Sbicolor_v5,Sobic.002G282550
OG0014480,Sbicolor_v5,Sobic.003G172250
OG0014535,Sbicolor_v5,Sobic.001G176501
OG0014553,Sbicolor_v5,Sobic.003G180200
OG0014690,Sbicolor_v5,Sobic.008G029000
OG0014703,Sbicolor_v5,Sobic.008G074300
OG0014705,Sbicolor_v5,Sobic.008G046300
OG0014726,Sbicolor_v5,Sobic.008G186800
OG0014757,Sbicolor_v5,Sobic.007G010200
OG0014851,Zmays_v5,Zm00001eb019050
OG0015020,Sbicolor_v5,Sobic.009G085300
OG0015078,Sbicolor_v5,Sobic.009G179200
OG0015091,Sbicolor_v5,Sobic.010G178700
OG0015123,Sbicolor_v5,Sobic.010G230200
OG0015135,Sbicolor_v5,Sobic.010G165100
OG0015188,Sbicolor_v5,Sobic.005G138000
OG0015230,Sbicolor_v5,Sobic.006G047900
OG0015247,Sbicolor_v5,Sobic.006G233300
OG0015268,Sbicolor_v5,Sobic.006G094800
OG0015557,Sbicolor_v5,Sobic.004G031200
OG0015583,Sbicolor_v5,Sobic.009G123100
OG0015584,Gmax_Wm82_v2,Glyma.08G056400
OG0015604,Gmax_Wm82_v2,Glyma.12G090600
OG0015723,Gmax_Wm82_v2,Glyma.13G134200
OG0015759,Gmax_Wm82_v2,Glyma.20G238000
OG0015760,Gmax_Wm82_v2,Glyma.10G256400
OG0015821,Gmax_Wm82_v2,Glyma.20G155200
OG0015857,Zmays_v5,Zm00001eb205150
OG0015943,Gmax_Wm82_v2,Glyma.05G026100
OG0015943,Gmax_Wm82_v2,Glyma.17G100800
OG0016026,Gmax_Wm82_v2,Glyma.17G218600
OG0016066,Gmax_Wm82_v2,Glyma.13G165300
OG0016068,Gmax_Wm82_v2,Glyma.14G112500
OG0016269,Gmax_Wm82_v2,Glyma.07G090400
OG0016460,Gmax_Wm82_v2,Glyma.04G025100
OG0016697,Gmax_Wm82_v2,Glyma.07G179900
OG0017255,Gmax_Wm82_v2,Glyma.16G167200
OG0017348,Gmax_Wm82_v2,Glyma.16G039800
OG0017348,Gmax_Wm82_v2,Glyma.19G113400
OG0017364,Gmax_Wm82_v2,Glyma.03G127800
OG0017364,Gmax_Wm82_v2,Glyma.19G130400
OG0017446,Gmax_Wm82_v2,Glyma.19G030200
OG0017479,Gmax_Wm82_v2,Glyma.19G104200
OG0017540,Gmax_Wm82_v2,Glyma.14G158500
OG0017572,Gmax_Wm82_v2,Glyma.05G084400
OG0017572,Gmax_Wm82_v2,Glyma.20G208700
OG0017629,Gmax_Wm82_v2,Glyma.05G182300
OG0017647,Gmax_Wm82_v2,Glyma.08G055600
OG0017752,Gmax_Wm82_v2,Glyma.11G198500
OG0017777,Gmax_Wm82_v2,Glyma.01G217600
OG0017777,Gmax_Wm82_v2,Glyma.11G025600
OG0017813,Gmax_Wm82_v2,Glyma.01G190600
OG0017839,Gmax_Wm82_v2,Glyma.01G181600
OG0017839,Gmax_Wm82_v2,Glyma.11G059800
OG0017919,Gmax_Wm82_v2,Glyma.01G191300
OG0017976,Gmax_Wm82_v2,Glyma.08G296700
OG0017981,Gmax_Wm82_v2,Glyma.08G319200
OG0017981,Gmax_Wm82_v2,Glyma.18G094300
OG0018026,Gmax_Wm82_v2,Glyma.18G114800
OG0018040,Sbicolor_v5,Sobic.003G172922
OG0018056,Gmax_Wm82_v2,Glyma.18G116700
OG0018081,Sbicolor_v5,Sobic.002G288700
OG0018153,Sbicolor_v5,Sobic.003G172908
OG0018161,Sbicolor_v5,Sobic.006G047500
OG0018169,Gmax_Wm82_v2,Glyma.18G068500
OG0018170,Sbicolor_v5,Sobic.008G160300
OG0018266,Zmays_v5,Zm00001eb240730
OG0018358,Sbicolor_v5,Sobic.004G059600
OG0018394,Sbicolor_v5,Sobic.004G197900
OG0018551,Zmays_v5,Zm00001eb237580
OG0018563,Zmays_v5,Zm00001eb234090
OG0018595,Zmays_v5,Zm00001eb238070
OG0018611,Sbicolor_v5,Sobic.004G196800
OG0018750,Sbicolor_v5,Sobic.003G170100
OG0018796,Sbicolor_v5,Sobic.003G374851
OG0018797,Sbicolor_v5,Sobic.003G382300
OG0018800,Zmays_v5,Zm00001eb333510
OG0018939,Zmays_v5,Zm00001eb140540
OG0018952,Sbicolor_v5,Sobic.003G335000
OG0019028,Sbicolor_v5,Sobic.003G374775
OG0019048,Sbicolor_v5,Sobic.003G329000
OG0019229,Sbicolor_v5,Sobic.008G092566
OG0019230,Sbicolor_v5,Sobic.008G052450
OG0019241,Sbicolor_v5,Sobic.008G188100
OG0019330,Sbicolor_v5,Sobic.008G189900
OG0019352,Zmays_v5,Zm00001eb406080
OG0019367,Sbicolor_v5,Sobic.007G180050
OG0019383,Sbicolor_v5,Sobic.007G113400
OG0019383,Sbicolor_v5,Sobic.007G113567
OG0019389,Sbicolor_v5,Sobic.007G142700
OG0019504,Sbicolor_v5,Sobic.007G227700
OG0019670,Sbicolor_v5,Sobic.001G112700
OG0019836,Zmays_v5,Zm00001eb008520
OG0019842,Sbicolor_v5,Sobic.001G320900
OG0019952,Zmays_v5,Zm00001eb016400
OG0019956,Sbicolor_v5,Sobic.010G158900
OG0019990,Sbicolor_v5,Sobic.001G190200
OG0020210,Sbicolor_v5,Sobic.001G112800
OG0020378,Zmays_v5,Zm00001eb353860
OG0020420,Sbicolor_v5,Sobic.009G218800
OG0020609,Sbicolor_v5,Sobic.010G040600
OG0020625,Zmays_v5,Zm00001eb121720
OG0020723,Sbicolor_v5,Sobic.010G153900
OG0020841,Sbicolor_v5,Sobic.005G200300
OG0021022,Sbicolor_v5,Sobic.006G099501
OG0021052,Zmays_v5,Zm00001eb433740
OG0021118,Sbicolor_v5,Sobic.006G044400
OG0021201,Zmays_v5,Zm00001eb067730
OG0021242,Sbicolor_v5,Sobic.006G181600
OG0021244,Sbicolor_v5,Sobic.006G048300
OG0021328,Sbicolor_v5,Sobic.002G156501
OG0021346,Sbicolor_v5,Sobic.002G030500
OG0021463,Zmays_v5,Zm00001eb312220
OG0021485,Sbicolor_v5,Sobic.002G351400
OG0021901,Zmays_v5,Zm00001eb152760
OG0021902,Zmays_v5,Zm00001eb152770
OG0021950,Zmays_v5,Zm00001eb372190
OG0021996,Zmays_v5,Zm00001eb252720
